# Other interesting functions
# Address	Size	Name
# Extracted from: superb

001d7ef8	2	TransportDescriptionFactory
001d81ae	124	UpdateMediaSendRecvState_w
001d84f8	6	UpdateMediaSendRecvState
001d85b0	22	UpdateWritableState_n
001d9278	22	UpdateRemoteStreams_w
001d9420	372	UpdateLocalStreams_w
001d9b18	16	reset
001d9e84	20	MediaSessionDescriptionFactory
001d9e9c	34	MediaSessionDescriptionFactory
001db152	8	AES_ECB_encrypt
001db15a	8	AES_ECB_decrypt
001db162	84	AES_CBC_encrypt_buffer
001db1b6	122	AES_CBC_decrypt_buffer
001dcfa4	16	reset
001dcfb4	84	UpdateCrc32
001dd0e6	98	UpdateAggregateNetworkState
001de5aa	24	~InternalEncoderFactory
001de5c8	18	~InternalEncoderFactory
001de5da	184	InternalEncoderFactory
001de6b0	44	~WebRtcVideoEncoderFactory
001de6e0	18	~WebRtcVideoEncoderFactory
001de874	208	_M_realloc_insert<cricket::WebRtcVideoEncoderFactory::VideoCodec>
001dedca	62	reset
001e4438	8	iotx_register_for_ITE_OFFLINE_RESET
001ec65c	58	iotx_dm_deviceinfo_update
001eccd4	32	iotx_dm_subdev_reset
001ee1ec	154	dm_mgr_upstream_thing_subdev_reset
001eec30	98	dm_mgr_upstream_thing_deviceinfo_update
001efc2c	138	dm_msg_thing_deviceinfo_update_reply
001f08d0	144	dm_msg_thing_subdev_reset_reply
001f11d8	52	dm_msg_thing_subdev_reset
001f1fee	94	dm_msg_proc_thing_deviceinfo_update_reply
001f297c	104	dm_msg_proc_thing_sub_reset_reply
001f37c0	24	dm_client_thing_deviceinfo_update_reply
001f3ae8	24	dm_client_thing_sub_reset_reply
001f3cf4	448	awss_report_reset_to_cloud
001f3f00	76	awss_handle_reset_cloud_reply
001f3f8c	142	awss_report_reset
001f4044	136	awss_check_reset
001f40f0	86	awss_clear_reset
001f4164	42	awss_stop_report_reset
001f4198	82	awss_rst_update_statis
001f4c18	294	awss_update_statis
001f6038	134	awss_bind_update_statis
001f76f8	70	awss_update_token
001f8bd8	6	utils_md5_update
001f9bb0	6	utils_sha1_update
001f9ee0	196	utils_sha256_update
001fb6ac	54	reset_log_poll
001ff462	4	otalib_MD5Update
001ff4c6	4	otalib_Sha256Update
00202e60	10	apscan_reset_scan_chan
002030bc	60	reset_mcast_data
0020489e	348	aes_decrypt_string
00206744	356	SHA256_update
002072a4	72	HAL_Aes128_Cbc_Encrypt
002072ec	66	HAL_Aes128_Cbc_Decrypt
0020732e	42	HAL_Aes128_Cfb_Encrypt
00207358	72	HAL_Aes128_Cfb_Decrypt
002092fc	836	mbedtls_internal_aes_encrypt
00209648	852	mbedtls_internal_aes_decrypt
00209d6e	36	mbedtls_ctr_drbg_update
0020a558	8	mbedtls_entropy_update_manual
0020b928	30	mbedtls_pk_decrypt
0020b950	30	mbedtls_pk_encrypt
0020c2e0	286	mbedtls_rsa_rsaes_oaep_encrypt
0020c404	222	mbedtls_rsa_rsaes_pkcs1_v15_encrypt
0020c4e8	60	mbedtls_rsa_pkcs1_encrypt
0020c528	384	mbedtls_rsa_rsaes_oaep_decrypt
0020c6b4	272	mbedtls_rsa_rsaes_pkcs1_v15_decrypt
0020c7d0	72	mbedtls_rsa_pkcs1_decrypt
0020d9fe	6	mbedtls_sha256_update
0020e628	48	mbedtls_ssl_update_handshake_status
0020e68c	10	mbedtls_ssl_reset_checksum
0020e984	78	mbedtls_ssl_get_record_expansion
0020ef2c	134	mbedtls_ssl_session_reset
0020f264	1140	mbedtls_ssl_write_record
0020fb38	1054	mbedtls_ssl_prepare_handshake_record
0021063e	1830	mbedtls_ssl_read_record_layer
00210e0c	116	mbedtls_ssl_read_record
00211606	30	mbedtls_set_alarm
002153d8	18	mbedtls_cipher_reset
002153f0	406	mbedtls_cipher_update
002158f8	22	mbedtls_md_update
00215a0c	26	mbedtls_md_hmac_update
00215a84	40	mbedtls_md_hmac_reset
002175ec	6	mbedtls_sha1_update
00219ebc	6	mbedtls_md5_update
0021a364	4	HAL_Awss_Get_Encrypt_Type
0021a368	4	HAL_Awss_Get_Conn_Encrypt_Type
0021af20	24	HAL_Reboot
0021b318	40	secu_onvif_reset
0021d228	56	soap_tds_SystemReboot
0021d270	104	soap_tds_SetSystemFactoryDefault
0021e478	26	soap_tds_UpgradeSystemFirmware
0021e4a0	90	soap_tds_StartFirmwareUpgrade
0021e6f8	92	soap_FirmwareUpgrade
0021f584	114	soap_img_GetPresets
0021f618	100	soap_img_GetCurrentPreset
0021f69c	108	soap_img_SetCurrentPreset
00220404	116	soap_trt_GetOSDs
00220498	116	soap_trt_GetOSD
0022052c	132	soap_trt_SetOSD
002205d0	48	soap_trt_GetOSDOptions
00220610	132	soap_trt_CreateOSD
002206b4	126	soap_trt_DeleteOSD
00220e38	126	soap_trt_AddAudioSourceConfiguration
00220ed8	118	soap_trt_RemoveAudioSourceConfiguration
00220f74	126	soap_trt_AddAudioEncoderConfiguration
00221014	118	soap_trt_RemoveAudioEncoderConfiguration
002210b0	48	soap_trt_GetAudioSources
002210f0	48	soap_trt_GetAudioEncoderConfigurations
00221130	110	soap_trt_GetCompatibleAudioEncoderConfigurations
