# All named functions
# Address	Size	Name
# Extracted from: superb

0016222c	12	__aeabi_fcmplt
00162238	12	sem_trywait
00162244	12	sigaction
00162250	12	cfsetospeed
0016225c	12	gethostname
00162268	12	__pthread_cond_timedwait_time64
00162278	12	dlclose
00162284	12	__localtime64_r
00162290	12	operator.new
0016229c	12	_M_stringbuf_init
001622a8	12	~locale
001622b4	12	random
001622c4	12	putchar
001622d0	12	__aeabi_fsub
001622dc	12	__aeabi_uidiv
001622e8	12	__deregister_frame_info
001622f4	12	mkdir
00162304	12	operator=
00162310	12	__aeabi_idiv
0016231c	12	pipe
00162328	12	__throw_out_of_range
00162334	12	__timer_gettime64
00162340	12	closedir
0016234c	12	pow
00162358	12	dlerror
00162364	12	__cxa_rethrow
00162370	12	__aeabi_fcmpgt
0016237c	12	getpgid
00162388	12	_M_extract<unsigned_short>
00162394	12	ferror
001623a0	12	log10
001623b0	12	sendto
001623bc	12	__throw_out_of_range_fmt
001623cc	12	open
001623d8	12	pthread_attr_setinheritsched
001623e8	12	operator+=
001623f4	12	bind
00162400	12	~stringstream
0016240c	12	setsockopt
00162418	12	Init
00162428	12	socket
00162434	12	opendir
00162440	12	pthread_setaffinity_np
0016244c	12	read
00162458	12	posix_spawn_file_actions_destroy
00162464	12	~filebuf
00162470	12	floor
0016247c	12	operator<<
00162488	12	~string
00162494	2	inet_pton
00162498	12	inet_pton
001624a8	12	vfprintf
001624b4	12	strtof
001624c0	2	access
001624c4	12	access
001624d0	12	_S_create
001624dc	12	sprintf
001624e8	12	__aeabi_ul2d
001624f4	12	__aeabi_ui2d
00162500	2	vsnprintf
00162504	12	vsnprintf
00162510	12	epoll_create
0016251c	12	__aeabi_d2iz
00162528	12	_M_next_bkt
00162538	12	fclose
00162544	2	feof
00162548	12	feof
00162554	12	_M_unhook
00162560	12	__stat_time64
0016256c	12	__cxa_end_catch
00162588	12	strtoul
00162594	12	_M_insert<bool>
001625a0	12	__aeabi_ul2f
001625ac	12	_M_sync
001625b8	12	tzset
001625c4	12	__gxx_personality_v0
001625d0	12	atoll
001625dc	12	atol
001625e8	12	ceil
001625f4	12	readdir
00162600	2	close
00162604	12	close
00162610	2	fgets
00162614	12	fgets
00162620	12	recvfrom
0016262c	12	operator>>
0016263c	12	fputc
00162648	12	pthread_attr_setschedparam
00162654	2	strstr
00162658	12	strstr
00162664	12	__aeabi_l2d
00162670	12	getaddrinfo
0016267c	12	isalpha
00162688	2	realloc
0016268c	12	realloc
00162698	12	clear
001626a4	2	strchr
001626a8	12	strchr
001626b4	12	shmdt
001626c0	12	mbrtowc
001626d0	12	fputs
001626dc	12	__cxa_throw
001626ec	12	swap
001626fc	12	operator<<
00162708	12	tellg
00162714	12	pthread_mutexattr_settype
00162720	12	expf
0016272c	12	__addvdi3
0016273c	12	umount
0016274c	12	strncmp
00162758	12	statfs
00162764	12	sethostname
00162770	12	_M_extract<unsigned_int>
0016277c	2	getchar
00162780	12	getchar
00162790	12	pthread_join
0016279c	12	if_nametoindex
001627a8	12	get_nprocs_conf
001627b8	12	accept
001627c4	12	swap
001627d0	12	floorf
001627dc	12	__cxa_guard_acquire
001627e8	2	append
001627ec	12	append
001627f8	12	string
00162804	12	fmin
00162814	12	prctl
00162834	12	strerror
00162840	12	pthread_cancel
0016284c	12	__aeabi_fcmpge
00162858	12	inet_network
00162864	12	~__basic_file
00162870	12	_M_mutate
0016287c	12	__subvdi3
00162888	2	pthread_detach
0016288c	12	pthread_detach
00162898	12	find
001628a4	12	__aeabi_fadd
001628b0	12	__cxa_pure_virtual
001628c0	12	__clock_gettime64
001628cc	12	system
001628dc	12	strcat
001628e8	12	__localtime64
001628f4	12	rewinddir
00162900	12	__clock_settime64
0016290c	12	~ostringstream
00162918	12	copy
00162924	12	pthread_attr_destroy
00162930	12	erase
0016293c	12	fmax
00162948	2	srandom
0016294c	12	srandom
00162958	2	__time64
0016295c	12	__time64
00162978	12	compare
00162984	12	locale
00162990	12	~Init
0016299c	12	pthread_mutexattr_init
001629a8	46	throw_std_bad_alloc
00162b00	2434	main
00163624	24	_INIT_1
00163648	24	_INIT_2
0016366c	24	_INIT_3
00163690	24	_INIT_4
001636b4	24	_INIT_5
001636d8	24	_INIT_6
001636fc	24	_INIT_7
00163720	24	_INIT_8
00163744	24	_INIT_9
00163768	48	_INIT_10
001637a8	24	_INIT_11
001637cc	24	_INIT_12
001637f0	24	_INIT_13
00163814	48	_INIT_14
00163854	42	_INIT_15
00163890	56	_INIT_16
001638dc	12	_INIT_17
001638ec	12	_INIT_18
001638fc	12	_INIT_19
0016390c	18	ptz_test_init
00163930	116	FUN_00163930
001639b0	5100	FUN_001639b0
0016542c	4	_INIT_21
00165430	66	FUN_00165430
00165480	4870	FUN_00165480
00166de8	4	_INIT_22
00166dec	134	_INIT_23
00166e98	66	FUN_00166e98
00166ee8	4870	FUN_00166ee8
00168850	4	_INIT_24
00168854	116	FUN_00168854
001688d4	4878	FUN_001688d4
0016a244	4	_INIT_25
0016a248	122	FUN_0016a248
0016a2d0	4874	FUN_0016a2d0
0016bc3c	4	_INIT_26
0016bc40	28	_start
0016bc5c	28	_start_c
0016bc84	16	FUN_0016bc84
0016bcc4	28	_FINI_0
0016bcec	44	_INIT_0
0016bd0c	16	FUN_0016bd0c
0016bd20	54	__save_osd_time
0016bd5c	28	SigHandle
0016bd80	30	clear_cache
0016bdac	570	MainThrd
0016c044	218	secu_save_softep
0016c138	52	secu_save_bin
0016c170	200	secu_read_softep
0016c250	80	secu_read_bin
0016c2a8	24	_remove_restart_flag
0016c2c8	110	sysfunc_get_key_value
0016c336	36	ParseParam
0016c35a	186	FUN_0016c35a
0016c430	176	FUN_0016c430
0016c504	2	ReadImportantInfo
0016c506	238	__CalcBitrate
0016c670	112	__check_valid_res
0016c6e0	17876	ReadConfigInfo
0017180c	5368	WriteConfigInfo
00173334	110	SYSFuncs_GetKeyValue
001733a2	126	SYSFuncs_GetValue
00173430	20	SYSFuncs_reboot
0017344c	194	SYSFuncs_factory_default
00173540	350	SYSFuncs_factory_default_without_reboot
00173718	124	SYSFuncs_factory_default_by_remote
001737ac	36	remove_restart_flag_timer
001737dc	28	_itoa
001737fc	34	_ftoa
00173824	4052	SYSFuncs_export_hwinfo
00174a78	2194	SYSFuncs_parse_hwinfo
